[2018-07-25 20:07:45] E:\Project\wechat\servers\wechatInit.py 11 wechat_start [INFO] msg:wechat_start data=None MainThread-5720 pid:4180
[2018-07-25 20:07:45] E:\Project\wechat\servers\wechatInit.py 15 wechat_start [INFO] msg:ec5e8cf0052f453a55164136abcf47bb MainThread-5720 pid:4180
[2018-07-25 20:07:45] servers/wechatProcess.py 24 <module> [INFO] msg:["servers/wechatProcess.py", "ec5e8cf0052f453a55164136abcf47bb"] MainThread-3632 pid:6564
[2018-07-25 20:07:45] servers/wechatProcess.py 26 <module> [INFO] msg:userKey = ec5e8cf0052f453a55164136abcf47bb MainThread-3632 pid:6564
[2018-07-25 20:07:46] servers/wechatProcess.py 62 qrCallback [INFO] msg:Please scan the QR code to log in MainThread-3632 pid:6564
[2018-07-25 20:07:46] E:\Project\wechat\servers\wechatInit.py 34 wechat_start [INFO] msg:read = {"loginStatus": "Please scan the QR code to log in", "uuid": "4d_pQcwGYg==", "qrcode": "download/QR/ec5e8cf0052f453a55164136abcf47bb.png", "userKey": "ec5e8cf0052f453a55164136abcf47bb"} MainThread-5720 pid:4180
[2018-07-25 20:07:56] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:07:56] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:07:56] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:07:56] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:07:56] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:07:56] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:07:56] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:07:56] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:07:57] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
